CSDUID,LOCAL_YEAR,POP
2419075,2018,2185
2423802,2018,2231
2450113,2018,2194
2479030,2018,2090
2444080,2018,2172
2471005,2018,2270
2469045,2018,2166
2445055,2018,2215
2414035,2018,2169
2448038,2018,2190
2462075,2018,2131
2493035,2018,2153
2480037,2018,2106
2456065,2018,2086
2493045,2018,2037
2432013,2018,2039
2494235,2018,2102
2462802,2018,2112
2456060,2018,2097
2452045,2018,2041
2420025,2018,2044
2405060,2018,2019
2437205,2018,2051
2490804,2018,2033
2493065,2018,2010
2471075,2018,1987
2468025,2018,2303
2456035,2018,2085
2463030,2018,2027
2462020,2018,2060
2450128,2018,1972
2488022,2018,1988
2422010,2018,2083
2468035,2018,2022
2491802,2018,1977
2463065,2018,2004
2439097,2018,1918
2419030,2018,1880
2452055,2018,1987
2496025,2018,1881
2468015,2018,1961
2476025,2018,1945
2478095,2018,1886
2495025,2018,1844
2426015,2018,1866
2452062,2018,1869
2445030,2018,1869
2445093,2018,2012
2483070,2018,1864
2451075,2018,1862
2410070,2018,1786
2407085,2018,1780
2437240,2018,1837
2455030,2018,1797
2428045,2018,1829
2419110,2018,1814
2453020,2018,1767
2495010,2018,1807
2412057,2018,1814
2454065,2018,1813
2499120,2018,1879
2471045,2018,1813
2499085,2018,1846
2499802,2018,1788
2409065,2018,1753
2491020,2018,1750
2431045,2018,1741
2437220,2018,1814
2430025,2018,1741
2441117,2018,1765
2457057,2018,1748
2468040,2018,1837
2476055,2018,1761
2429030,2018,1769
2457075,2018,1716
2472043,2018,1737
2454095,2018,1667
2453072,2018,1681
2406020,2018,1674
2453032,2018,1712
2449030,2018,1739
2470040,2018,1719
2428005,2018,1643
2468020,2018,2157
2456005,2018,1709
2453050,2018,1595
2469010,2018,1726
2417030,2018,1608
2429100,2018,1619
2414090,2018,1618
2442095,2018,1662
2472802,2018,1717
2418060,2018,1646
2433052,2018,1626
2430095,2018,1612
2483060,2018,1602
2432065,2018,1594
2439085,2018,1653
2429120,2018,1667
2462030,2018,1620
2411010,2018,1604
2414070,2018,1543
2433095,2018,1627
2497802,2018,1603
2484010,2018,1573
2408073,2018,1549
2439117,2018,1588
2420020,2018,1768
2462070,2018,1618
2468005,2018,1561
2499020,2018,1582
2496035,2018,1500
2418065,2018,1617
2476030,2018,1604
2479005,2018,1590
2449075,2018,1586
2442110,2018,1536
2480078,2018,1620
2497804,2018,1509
2448045,2018,1545
2419025,2018,1515
2429038,2018,1533
2406804,2018,1534
2471055,2018,1688
2451060,2018,1497
2499135,2018,1599
2494265,2018,1523
2470035,2018,1606
2478070,2018,1477
2419037,2018,1486
2445085,2018,1503
2421005,2018,1457
2449113,2018,1466
2417055,2018,1466
2452030,2018,1473
2499015,2018,1442
2499812,2018,1490
2407057,2018,1391
2421020,2018,1431
2449005,2018,1460
2489010,2018,1459
2434078,2018,1412
2484060,2018,1403
2440017,2018,1422
2454090,2018,1421
2439025,2018,1446
2456105,2018,1438
2456042,2018,1432
2434090,2018,1377
2427060,2018,1404
2469060,2018,1407
2487025,2018,1414
2406030,2018,1371
2456015,2018,1435
2449095,2018,1381
2405040,2018,1391
2489804,2018,1435
2430045,2018,1414
2477060,2018,1398
2427035,2018,1388
2416055,2018,1388
2491050,2018,1382
2432072,2018,1315
2478115,2018,1309
2496040,2018,1318
2468045,2018,1352
2451070,2018,1312
2471090,2018,1363
2454100,2018,1322
2496030,2018,1322
2416048,2018,1319
2469065,2018,1353
2451040,2018,1334
2484082,2018,1322
2442032,2018,1353
2493055,2018,1320
2463023,2018,1367
2493025,2018,1313
2449025,2018,1359
2447040,2018,1364
2448010,2018,1292
2426005,2018,1312
2419050,2018,1307
2412043,2018,1279
2413080,2018,1255
2435010,2018,1285
2439150,2018,1318
2435035,2018,1301
2412010,2018,1331
2426040,2018,1308
2470005,2018,1283
2439135,2018,1244
2478020,2018,1360
2485037,2018,1230
2484015,2018,1251
2412065,2018,1230
2454110,2018,1352
2413025,2018,1202
2415058,2018,1176
2488075,2018,1241
2483802,2018,1207
2490802,2018,1260
2463005,2018,1206
2478130,2018,1232
2433080,2018,1200
2446017,2018,1212
2434097,2018,1218
2451025,2018,1213
2494210,2018,1208
2489045,2018,1166
2491005,2018,1157
2469030,2018,1213
2442100,2018,1169
2441070,2018,1144
2405055,2018,1146
2412020,2018,1153
2433017,2018,1150
